,number_of_visits,total_quantity,average_quantity,total_spend,average_spend,BAKERY,CASHPOINT,CONFECTIONARY,DAIRY,DELI,DISCOUNT_BAKERY,DRINKS,FROZEN,FRUIT_VEG,GROCERY_FOOD,GROCERY_HEALTH_PETS,LOTTERY,MEAT,NEWSPAPERS_MAGAZINES,PRACTICAL_ITEMS,PREPARED_MEALS,SEASONAL_GIFTING,SOFT_DRINKS,TOBACCO,WORLD_FOODS,cluster_group
0,56,531,9.48,675.72,12.07,7.4,0.0,25.53,236.09,0.0,1.25,189.8,20.57,14.48,88.35,25.4,0.0,88.46,6.4,0.0,17.29,7.61,6.03,0.0,33.66,4.0
1,33,655,19.85,585.73,17.75,9.45,0.0,126.32,181.58,0.0,0.0,0.0,4.51,30.21,100.31,13.76,0.0,59.39,7.62,0.0,37.18,0.0,30.17,0.0,4.37,1.0
2,59,294,4.98,222.18,3.77,1.04,0.0,3.29,5.19,26.24,0.0,0.0,1.78,56.27,1.08,13.63,0.0,9.96,1.99,0.0,0.0,22.1,3.17,0.0,54.9,5.0
3,37,499,13.49,547.87,14.81,14.08,0.0,69.29,61.15,3.81,0.0,13.0,21.96,83.74,66.74,19.63,0.0,53.52,1.6,1.52,6.88,9.12,10.93,0.0,1.19,5.0
4,48,281,5.85,293.34,6.11,12.12,0.0,75.66,43.6,11.67,0.0,0.0,3.88,22.01,14.39,7.47,4.0,2.49,0.45,0.0,0.0,0.0,1.19,0.0,5.79,5.0
5,45,1055,23.44,1584.18,35.2,35.01,0.0,176.48,219.9,14.2,0.0,322.39,17.03,395.85,176.67,134.48,0.0,137.4,21.14,27.7,13.24,11.15,45.22,0.0,24.79,1.0
6,18,219,12.17,225.41,12.52,6.42,0.0,38.33,49.36,0.0,0.0,0.0,0.0,66.01,25.81,7.65,0.0,8.26,5.44,0.76,21.8,0.0,1.49,0.0,0.0,5.0
7,42,970,23.1,1233.78,29.38,68.07,0.0,463.39,63.34,5.68,4.44,175.24,32.49,203.45,203.98,106.46,0.0,119.83,6.15,1.95,0.49,3.34,58.98,0.0,3.87,1.0
8,20,244,12.2,355.16,17.76,27.14,0.0,19.59,25.02,0.0,0.0,14.88,40.54,49.95,33.9,7.87,0.0,16.11,0.42,3.4,7.97,0.0,4.01,0.0,0.0,5.0
9,37,525,14.19,729.04,19.7,10.26,0.0,89.03,171.83,0.0,0.0,161.51,16.22,100.21,153.75,15.61,0.0,6.91,5.44,0.0,8.76,0.0,15.52,0.0,1.09,5.0
10,53,434,8.19,518.58,9.78,7.29,0.0,107.47,75.92,8.97,0.0,7.9,21.65,28.65,62.92,28.57,0.0,32.95,6.92,0.0,30.05,13.85,4.03,0.0,1.63,5.0
11,67,324,4.84,600.74,8.97,10.12,0.0,38.06,104.47,0.0,0.0,110.09,17.23,87.25,40.05,0.0,4.0,2.29,0.35,0.0,13.17,0.3,4.29,0.0,5.95,5.0
12,46,329,7.15,554.54,12.06,6.57,0.0,5.77,14.76,6.76,0.0,274.09,25.47,58.47,92.46,44.16,0.0,8.96,1.4,0.0,0.0,0.0,0.0,0.0,2.08,5.0
13,35,246,7.03,177.29,5.07,12.14,0.0,11.69,24.82,8.83,0.0,15.63,9.59,23.15,10.69,10.97,2.0,14.4,2.4,0.0,23.5,1.15,0.88,0.0,2.15,5.0
14,40,387,9.68,530.64,13.27,27.03,36.84,46.59,56.06,0.0,0.0,27.58,30.58,66.06,74.62,4.46,0.0,25.16,1.4,0.0,12.41,2.17,0.0,0.0,0.0,5.0
15,48,324,6.75,440.71,9.18,13.12,0.0,29.5,172.67,1.89,0.0,8.07,4.13,92.3,31.52,5.49,1.5,7.84,54.86,0.0,9.72,0.0,1.7,0.0,1.19,5.0
16,79,813,10.29,855.23,10.83,11.41,0.0,63.98,388.36,6.59,0.0,3.06,35.3,191.3,31.28,74.47,0.0,35.23,9.62,2.98,8.37,0.84,5.95,0.0,0.0,4.0
17,43,724,16.84,599.29,13.94,4.59,0.0,74.23,69.66,58.64,1.25,0.0,4.78,84.72,161.71,21.92,0.0,2.19,0.0,0.0,6.13,11.84,5.11,0.0,14.46,0.0
18,33,544,16.48,566.97,17.18,10.13,30.0,118.55,36.74,8.11,0.0,0.0,21.11,16.37,92.99,25.82,0.0,71.4,4.85,0.0,1.75,0.0,1.47,0.0,0.87,5.0
19,54,441,8.17,700.34,12.97,37.4,0.0,68.72,85.5,42.57,4.54,47.48,13.3,24.79,37.2,11.22,0.0,46.27,22.72,18.67,41.51,2.84,2.55,0.0,0.0,0.0
20,14,626,44.71,729.55,52.11,18.82,0.0,133.3,104.19,8.44,3.7,21.89,7.98,167.76,65.62,38.58,0.0,30.04,13.29,0.0,31.13,0.0,20.85,0.0,1.19,1.0
21,39,332,8.51,303.53,7.78,8.17,0.0,55.62,92.12,0.0,0.0,0.0,21.2,61.1,29.42,22.2,0.0,3.5,10.69,0.0,4.95,7.62,3.53,0.0,3.66,5.0
22,22,303,13.77,261.16,11.87,5.17,0.0,58.21,41.67,3.8,0.0,0.0,0.0,35.32,149.32,5.95,0.0,2.07,3.13,0.0,6.65,1.27,0.0,0.0,22.85,5.0
23,11,150,13.64,164.66,14.97,13.13,0.0,45.84,22.67,0.0,0.0,0.0,9.38,12.22,23.3,19.67,0.0,30.95,1.0,0.0,11.12,1.69,0.0,0.0,1.19,5.0
24,47,527,11.21,745.69,15.87,9.22,0.0,36.23,70.0,4.5,0.0,72.69,11.28,117.33,149.34,12.24,0.0,43.58,0.0,0.0,41.36,1.49,13.31,0.0,2.95,5.0
25,95,807,8.49,967.75,10.19,45.83,0.0,31.43,100.26,8.97,0.0,77.1,62.52,98.86,138.19,43.12,0.0,15.45,24.86,17.57,4.88,13.59,9.05,0.0,0.45,4.0
26,55,1208,21.96,1857.65,33.78,23.01,0.0,208.63,84.6,140.1,34.59,454.85,14.82,236.25,344.85,53.0,0.0,16.94,2.95,9.92,148.74,6.81,5.9,0.0,0.0,0.0
27,19,236,12.42,267.96,14.1,11.28,20.0,30.26,31.99,6.65,0.0,6.37,10.75,15.24,35.17,42.12,0.0,43.73,13.36,0.0,16.89,0.0,12.88,0.0,7.62,5.0
28,63,608,9.65,829.75,13.17,14.19,10.0,57.13,158.58,0.0,0.0,0.0,15.9,81.51,173.64,41.88,4.0,90.72,6.75,0.0,34.94,0.0,7.67,0.0,2.67,4.0
29,46,141,3.07,202.67,4.41,4.63,0.0,10.18,19.28,0.0,0.0,39.96,5.83,29.65,23.34,1.78,4.0,1.99,3.7,0.0,1.99,1.18,0.0,0.0,1.49,5.0
30,102,551,5.4,389.09,3.81,14.97,0.0,59.3,44.74,2.37,0.0,10.2,0.0,13.56,103.45,3.57,0.0,0.0,11.7,0.0,1.65,0.0,1.01,0.0,4.53,4.0
31,159,965,6.07,569.31,3.58,6.39,0.0,72.77,118.89,0.0,0.0,3.01,14.12,1.61,72.5,17.62,0.0,2.69,10.2,0.0,38.4,0.0,10.6,0.0,12.74,3.0
32,31,455,14.68,517.63,16.7,28.13,0.0,39.91,135.16,0.0,0.0,11.84,46.0,57.81,66.3,93.83,0.0,76.43,2.54,0.0,56.55,4.54,29.11,0.0,0.99,5.0
33,55,383,6.96,475.18,8.64,15.37,0.0,96.25,64.72,0.0,0.0,66.44,54.12,28.39,31.59,13.17,0.0,24.55,0.66,0.0,44.39,0.0,12.82,0.0,0.0,5.0
34,39,416,10.67,446.97,11.46,20.45,0.0,139.99,77.34,0.0,0.0,8.92,5.1,96.81,79.85,41.3,0.0,0.0,1.38,0.84,13.91,0.0,21.61,0.0,0.0,5.0
35,80,634,7.93,666.04,8.33,39.91,0.0,99.53,143.44,0.0,0.0,11.48,33.79,52.07,92.04,27.58,0.0,13.95,2.46,5.52,6.42,6.26,5.88,0.0,4.76,4.0
36,41,358,8.73,380.68,9.28,7.25,0.0,24.93,47.46,0.0,0.0,102.32,16.3,154.19,14.26,1.61,0.0,0.0,2.8,0.0,15.07,0.0,10.01,0.0,0.0,5.0
37,115,1043,9.07,1075.19,9.35,14.43,0.0,62.76,50.37,81.22,0.0,6.03,34.15,227.2,86.34,28.86,0.0,39.15,1.28,0.0,37.91,16.5,82.87,0.0,0.0,0.0
38,81,477,5.89,419.77,5.18,8.8,0.0,50.51,42.78,29.6,18.56,9.77,6.12,45.28,23.95,17.9,0.0,0.0,18.17,0.0,5.18,3.98,0.81,0.0,0.0,4.0
39,4,333,83.25,401.93,100.48,3.56,0.0,48.56,44.97,5.76,0.0,0.0,40.44,57.7,104.83,56.53,0.0,16.97,0.42,4.26,0.0,1.18,22.53,0.0,9.8,1.0
